445 1177
2 37 20
2 85 5
3 443 9
4 285 22
4 296 13
5 340 16
6 251 1
6 282 9
6 287 12
6 396 13
6 411 11
6 432 13
7 261 1
7 357 20
8 4 17
8 29 14
8 283 18
8 351 8
8 377 14
8 417 16
9 44 11
9 66 17
10 85 11
10 94 6
10 262 12
10 269 9
10 390 2
11 270 19
12 103 20
12 147 21
12 255 4
12 312 10
12 382 19
13 205 6
13 232 8
13 295 9
13 320 15
14 9 2
14 62 11
14 200 3
14 228 15
14 343 21
15 410 16
16 60 9
16 327 12
17 269 3
17 322 16
17 334 23
18 23 11
18 76 6
18 213 9
18 244 15
19 66 17
19 86 14
19 271 15
19 277 5
20 20 22
20 179 16
20 407 17
21 195 12
22 18 7
22 136 14
22 172 21
22 219 2
22 412 19
23 255 22
23 292 4
23 397 11
24 425 23
25 95 14
25 356 7
25 383 8
26 123 6
26 156 22
26 232 10
26 298 17
26 426 2
27 130 3
27 162 10
27 230 6
27 322 2
27 334 19
27 361 14
28 57 18
28 96 3
29 168 5
29 177 17
29 385 18
29 399 14
30 13 4
30 108 6
30 159 20
30 206 18
30 213 20
30 412 16
31 11 7
31 72 18
31 90 19
31 176 11
31 243 11
33 54 4
33 57 18
33 232 13
33 348 9
33 392 10
34 51 16
34 234 19
34 290 5
34 429 18
35 244 5
35 253 4
36 26 14
36 106 17
36 123 18
36 147 2
36 411 19
37 386 16
37 435 12
38 345 13
39 355 7
40 63 16
40 220 12
41 181 20
41 384 10
42 44 8
43 242 6
43 282 16
44 154 19
44 418 19
45 22 21
45 46 7
45 246 22
45 394 15
47 100 13
47 242 7
48 299 1
48 404 5
50 34 2
50 57 23
50 198 17
50 225 23
50 239 3
50 432 7
51 354 17
51 445 20
52 3 2
52 185 6
52 401 7
54 203 14
54 217 13
55 43 13
55 178 6
55 439 1
56 86 3
57 209 15
58 15 9
58 221 9
58 365 1
59 200 4
60 333 4
61 28 21
61 303 4
61 310 19
62 388 6
63 354 10
64 89 2
64 263 1
65 62 15
66 25 20
66 124 23
66 164 8
66 305 13
67 139 2
67 211 8
67 321 6
68 64 16
68 146 9
68 306 6
68 389 22
69 53 22
69 236 18
69 436 5
69 438 4
71 95 18
71 313 1
71 328 12
73 297 20
74 165 3
75 14 7
75 151 18
77 33 23
77 56 21
77 245 15
77 390 18
78 18 4
78 41 2
78 73 13
78 76 21
78 158 10
79 92 9
79 192 20
79 301 17
81 32 22
81 34 15
81 143 18
81 231 21
81 268 7
82 250 3
