54 848
1 2 7
1 13 6
1 14 8
1 16 2
1 17 17
1 20 5
1 26 18
1 30 4
1 31 9
1 32 15
1 34 17
1 38 18
1 39 14
1 42 8
1 49 14
1 50 8
2 3 19
2 4 17
2 5 1
2 8 1
2 11 1
2 12 17
2 15 17
2 30 3
2 38 3
2 41 19
2 48 6
2 49 4
2 50 14
2 54 6
3 10 9
3 13 13
3 24 3
3 25 9
3 26 6
3 27 12
3 28 13
3 30 4
3 31 15
3 36 14
3 48 18
3 51 11
3 52 11
3 54 3
4 1 19
4 2 4
4 6 2
4 7 17
4 13 13
4 14 2
4 16 10
4 17 13
4 19 18
4 20 18
4 25 7
4 27 20
4 28 8
4 29 13
4 30 3
4 32 14
4 34 10
4 35 4
4 36 6
4 37 4
4 38 12
4 40 3
4 42 15
4 44 16
4 46 6
4 48 9
4 50 9
4 52 16
4 54 12
5 2 11
5 3 18
5 5 2
5 6 7
5 8 20
5 9 10
5 14 19
5 19 13
5 20 11
5 22 3
5 43 11
5 48 20
5 53 10
6 2 10
6 6 8
6 10 14
6 11 5
6 13 1
6 15 15
6 17 8
6 18 18
6 19 18
6 20 11
6 22 20
6 26 13
6 30 6
6 34 18
6 35 13
6 37 15
6 42 13
6 49 4
6 51 5
6 54 2
7 6 17
7 9 11
7 12 13
7 17 7
7 19 1
7 20 6
7 21 17
7 34 4
7 37 16
7 39 17
7 47 13
7 51 17
7 54 4
8 2 18
8 6 13
8 8 16
8 11 12
8 14 12
8 15 13
8 17 9
8 19 2
8 22 4
8 27 1
8 28 8
8 29 13
8 30 6
8 33 14
8 38 17
8 41 9
8 51 10
8 52 19
8 54 6
9 2 13
9 9 3
9 16 4
9 22 13
9 24 8
9 26 20
9 27 16
9 29 15
9 32 8
9 33 20
9 35 4
9 36 3
9 40 17
9 43 16
9 46 18
10 12 8
10 17 8
10 21 2
10 22 9
10 23 1
10 26 18
10 27 1
10 28 20
10 33 10
10 34 6
10 36 5
10 42 7
10 45 7
11 10 15
11 12 17
11 14 4
11 15 19
11 27 11
11 30 7
11 32 11
11 36 11
11 37 18
11 39 19
11 40 5
11 42 6
11 46 18
11 47 8
11 52 8
12 6 7
12 8 16
12 15 18
12 16 14
12 18 15
12 21 19
12 23 2
12 29 15
12 30 8
12 36 3
12 41 7
12 43 18
12 44 20
12 51 11
12 53 16
13 5 6
13 9 5
13 20 4
13 23 9
13 27 3
13 28 14
13 29 7
13 31 6
13 37 16
13 38 5
13 40 4
14 2 1
14 3 10
14 4 13
14 8 20
14 11 9
14 18 19
14 19 7
14 21 6
14 23 13
14 25 1
14 30 17
14 34 6
14 40 8
14 42 16
14 44 20
14 51 14
14 52 5
15 2 20
15 4 4
15 6 12
15 7 17
15 10 9
15 12 15
15 14 18
15 15 3
15 16 1
15 24 4
15 28 20
15 29 8
15 42 8
15 44 3
15 45 8
15 47 9
15 49 16
15 52 20
16 4 10
16 5 6
16 10 6
16 27 7
16 29 18
16 30 19
16 37 15
16 38 16
16 39 6
16 42 11
16 43 7
16 47 11
16 51 15
16 52 18
16 53 14
16 54 7
17 2 15
17 9 14
17 11 13
17 12 12
17 15 9
17 16 5
17 22 15
17 25 8
17 26 13
17 30 15
17 34 11
17 41 12
17 49 3
17 50 18
17 51 3
18 4 12
18 5 3
18 6 1
18 10 19
18 13 13
18 22 19
18 25 13
18 26 20
18 27 16
18 28 15
18 40 6
18 46 6
18 47 2
18 51 4
19 3 11
19 8 8
19 9 10
19 11 5
19 12 12
19 13 1
19 16 13
19 17 9
19 26 7
19 30 20
19 31 13
19 32 1
19 35 2
19 36 4
19 38 16
19 39 19
19 43 19
19 45 19
19 49 14
20 1 19
20 2 9
20 18 6
20 21 9
20 23 2
20 28 5
20 32 4
20 33 8
20 35 2
20 38 1
20 39 9
20 40 5
20 41 11
20 44 8
20 45 14
20 47 15
20 51 12
21 1 6
21 6 19
21 10 20
21 15 13
21 19 11
21 20 12
21 21 5
21 25 12
21 26 7
21 34 20
21 35 3
21 36 5
21 38 19
21 42 16
21 47 3
21 49 7
21 51 13
22 3 3
22 5 20
22 7 9
22 17 6
22 20 8
22 23 2
22 24 18
22 28 8
22 29 7
22 30 1
22 34 16
22 35 12
22 36 15
22 37 7
22 39 10
22 46 6
22 49 18
22 50 2
22 53 16
23 1 9
23 8 18
23 10 19
23 16 7
23 18 18
23 19 1
23 21 12
23 23 8
23 27 8
23 29 6
23 32 6
23 33 12
23 38 9
23 41 6
23 45 12
23 46 6
23 49 5
24 20 14
24 24 16
24 29 12
24 31 12
24 33 16
24 35 19
24 39 3
24 41 2
24 42 5
24 44 4
24 45 7
24 49 2
24 50 17
24 54 14
25 5 2
25 10 15
25 11 13
25 20 9
25 22 4
25 23 13
25 31 12
25 32 11
25 34 13
25 37 9
25 42 16
25 51 4
26 10 17
26 12 13
26 13 16
26 14 15
26 15 17
26 16 9
26 34 10
26 45 1
26 51 20
26 52 17
26 54 19
27 2 14
27 4 18
