303 8397
1 5 10
1 22 10
1 23 1
1 28 11
1 40 15
1 54 7
1 64 13
1 68 20
1 81 18
1 90 12
1 93 8
1 102 10
1 111 14
1 113 3
1 115 21
1 121 21
1 125 21
1 126 19
1 132 5
1 133 5
1 140 6
1 146 22
1 158 18
1 159 2
1 166 14
1 188 2
1 193 20
1 195 7
1 204 1
1 210 4
1 227 20
1 232 5
1 236 7
1 248 20
1 253 15
1 261 16
2 4 21
2 5 21
2 14 12
2 19 9
2 22 9
2 30 13
2 32 18
2 34 17
2 38 15
2 42 9
2 47 8
2 60 12
2 68 22
2 92 13
2 93 11
2 95 4
2 99 11
2 102 5
2 103 5
2 146 18
2 151 23
2 178 19
2 194 1
2 200 17
2 205 22
2 206 20
2 218 21
2 219 22
2 223 17
2 226 6
2 244 14
2 245 8
2 256 3
2 268 2
2 274 16
2 275 6
2 291 8
2 292 5
3 13 16
3 17 23
3 27 13
3 33 23
3 38 5
3 40 5
3 46 12
3 52 15
3 73 8
3 78 16
3 83 19
3 85 7
3 92 10
3 93 12
3 103 2
3 107 10
3 111 23
3 139 17
3 152 1
3 154 20
3 168 15
3 172 11
3 194 3
3 200 6
3 205 18
3 212 22
3 218 1
3 227 10
3 228 21
3 234 9
3 247 8
3 275 13
3 292 2
4 1 15
4 2 7
4 20 6
4 23 19
4 39 12
4 44 21
4 50 4
4 53 5
4 60 10
4 61 10
4 62 8
4 82 22
4 89 11
4 90 12
4 95 21
4 145 21
4 146 12
4 161 11
4 200 12
4 204 16
4 212 7
4 213 11
4 218 10
4 221 6
4 225 12
4 226 13
4 233 20
4 242 14
4 256 21
4 262 4
4 266 15
4 293 12
5 4 10
5 13 20
5 25 7
5 59 21
5 60 11
5 63 4
5 70 19
5 75 21
5 102 7
5 103 4
5 127 13
5 134 11
5 145 15
5 146 10
5 153 8
5 164 20
5 172 14
5 179 20
5 184 12
5 201 21
5 209 7
5 224 15
5 225 20
5 235 12
5 245 4
5 247 16
5 248 2
5 280 18
5 287 13
5 302 10
5 303 6
6 1 22
6 3 1
6 8 7
6 27 20
6 31 11
6 51 4
6 55 15
6 65 8
6 68 11
6 85 12
6 90 20
6 113 21
6 118 20
6 127 23
6 128 23
6 129 10
6 138 8
6 140 19
6 145 21
6 156 5
6 169 19
6 184 6
6 191 18
6 194 2
6 204 10
6 206 4
6 231 20
6 234 4
6 248 17
6 272 7
6 287 4
6 296 15
7 8 1
7 20 4
7 26 5
7 39 11
7 50 1
7 58 14
7 80 13
7 139 11
7 169 2
7 171 3
7 207 3
7 216 16
7 221 20
7 222 19
7 225 2
7 231 4
7 242 8
7 247 17
7 264 2
7 303 3
8 14 22
8 18 19
8 20 4
8 21 8
8 30 22
8 33 18
8 48 6
8 55 9
8 68 1
8 122 3
8 136 18
8 156 1
8 167 23
8 170 16
8 180 5
8 204 23
8 212 6
8 215 11
8 216 5
8 226 2
8 231 14
8 232 7
8 240 17
8 241 4
8 249 2
8 255 12
8 256 7
8 275 9
8 282 5
9 4 8
9 14 5
9 15 4
9 32 20
9 35 3
9 62 5
9 77 12
9 86 20
9 92 4
9 100 21
9 113 14
9 118 6
9 126 15
9 133 8
9 146 22
9 155 1
9 161 6
9 165 22
